id,subsistema,timestamp,consumo_mw,hora,mes,dia_semana,dia_do_mes,tipo_dia,kwh
SE,SUDESTE,2023-01-01 00:00:00,32183.88499999,0,1,Sunday,1,FDS,32183884.99999
SE,SUDESTE,2023-01-01 01:00:00,32196.682,1,1,Sunday,1,FDS,32196682.0
SE,SUDESTE,2023-01-01 02:00:00,31539.57,2,1,Sunday,1,FDS,31539570.0
SE,SUDESTE,2023-01-01 03:00:00,30699.36699999,3,1,Sunday,1,FDS,30699366.99999
SE,SUDESTE,2023-01-01 04:00:00,30126.19499999,4,1,Sunday,1,FDS,30126194.999989998
SE,SUDESTE,2023-01-01 05:00:00,28687.157,5,1,Sunday,1,FDS,28687157.0
SE,SUDESTE,2023-01-01 06:00:00,27327.244,6,1,Sunday,1,FDS,27327244.0
SE,SUDESTE,2023-01-01 07:00:00,26590.855,7,1,Sunday,1,FDS,26590855.0
SE,SUDESTE,2023-01-01 08:00:00,26260.21999999,8,1,Sunday,1,FDS,26260219.99999
SE,SUDESTE,2023-01-01 09:00:00,26281.324,9,1,Sunday,1,FDS,26281324.0
SE,SUDESTE,2023-01-01 10:00:00,26871.891,10,1,Sunday,1,FDS,26871891.0
SE,SUDESTE,2023-01-01 11:00:00,27637.95699999,11,1,Sunday,1,FDS,27637956.99999
SE,SUDESTE,2023-01-01 12:00:00,27940.96399999,12,1,Sunday,1,FDS,27940963.999989998
SE,SUDESTE,2023-01-01 13:00:00,27566.566,13,1,Sunday,1,FDS,27566566.0
SE,SUDESTE,2023-01-01 14:00:00,27981.53699999,14,1,Sunday,1,FDS,27981536.99999
SE,SUDESTE,2023-01-01 15:00:00,28963.128,15,1,Sunday,1,FDS,28963128.0
SE,SUDESTE,2023-01-01 16:00:00,30836.365,16,1,Sunday,1,FDS,30836365.0
SE,SUDESTE,2023-01-01 17:00:00,33219.686,17,1,Sunday,1,FDS,33219686.0
SE,SUDESTE,2023-01-01 18:00:00,36098.15799999,18,1,Sunday,1,FDS,36098157.99999
SE,SUDESTE,2023-01-01 19:00:00,39335.642,19,1,Sunday,1,FDS,39335642.0
SE,SUDESTE,2023-01-01 20:00:00,39796.14799999,20,1,Sunday,1,FDS,39796147.999989994
SE,SUDESTE,2023-01-01 21:00:00,39196.848,21,1,Sunday,1,FDS,39196848.0
SE,SUDESTE,2023-01-01 22:00:00,37927.261,22,1,Sunday,1,FDS,37927261.0
SE,SUDESTE,2023-01-01 23:00:00,35985.53699999,23,1,Sunday,1,FDS,35985536.99999
SE,SUDESTE,2023-01-02 00:00:00,34049.364,0,1,Monday,2,Dia útil,34049364.0
SE,SUDESTE,2023-01-02 01:00:00,32526.95099999,1,1,Monday,2,Dia útil,32526950.99999
SE,SUDESTE,2023-01-02 02:00:00,31521.123,2,1,Monday,2,Dia útil,31521123.0
SE,SUDESTE,2023-01-02 03:00:00,30986.82099999,3,1,Monday,2,Dia útil,30986820.999989998
SE,SUDESTE,2023-01-02 04:00:00,30900.032,4,1,Monday,2,Dia útil,30900032.0
SE,SUDESTE,2023-01-02 05:00:00,30826.663,5,1,Monday,2,Dia útil,30826663.0
SE,SUDESTE,2023-01-02 06:00:00,31502.834,6,1,Monday,2,Dia útil,31502834.0
SE,SUDESTE,2023-01-02 07:00:00,32999.64199999,7,1,Monday,2,Dia útil,32999641.99999
SE,SUDESTE,2023-01-02 08:00:00,34781.517,8,1,Monday,2,Dia útil,34781517.0
SE,SUDESTE,2023-01-02 09:00:00,35801.19399999,9,1,Monday,2,Dia útil,35801193.99999
SE,SUDESTE,2023-01-02 10:00:00,36661.88399999,10,1,Monday,2,Dia útil,36661883.99999
SE,SUDESTE,2023-01-02 11:00:00,37244.462,11,1,Monday,2,Dia útil,37244462.0
SE,SUDESTE,2023-01-02 12:00:00,37689.203,12,1,Monday,2,Dia útil,37689203.0
SE,SUDESTE,2023-01-02 13:00:00,39054.559,13,1,Monday,2,Dia útil,39054559.0
SE,SUDESTE,2023-01-02 14:00:00,40251.552,14,1,Monday,2,Dia útil,40251552.0
SE,SUDESTE,2023-01-02 15:00:00,41197.776,15,1,Monday,2,Dia útil,41197776.0
SE,SUDESTE,2023-01-02 16:00:00,41979.28999999,16,1,Monday,2,Dia útil,41979289.999989994
SE,SUDESTE,2023-01-02 17:00:00,41586.013,17,1,Monday,2,Dia útil,41586013.0
SE,SUDESTE,2023-01-02 18:00:00,42295.00999999,18,1,Monday,2,Dia útil,42295009.99999
SE,SUDESTE,2023-01-02 19:00:00,45292.648,19,1,Monday,2,Dia útil,45292648.0
SE,SUDESTE,2023-01-02 20:00:00,45280.91699999,20,1,Monday,2,Dia útil,45280916.999989994
SE,SUDESTE,2023-01-02 21:00:00,44391.42299999,21,1,Monday,2,Dia útil,44391422.99999
SE,SUDESTE,2023-01-02 22:00:00,42243.18799999,22,1,Monday,2,Dia útil,42243187.999989994
SE,SUDESTE,2023-01-02 23:00:00,39662.88499999,23,1,Monday,2,Dia útil,39662884.99999
SE,SUDESTE,2023-01-03 00:00:00,37255.669,0,1,Tuesday,3,Dia útil,37255669.0
SE,SUDESTE,2023-01-03 01:00:00,35435.53899999,1,1,Tuesday,3,Dia útil,35435538.99999
SE,SUDESTE,2023-01-03 02:00:00,34238.599,2,1,Tuesday,3,Dia útil,34238599.0
SE,SUDESTE,2023-01-03 03:00:00,33620.26799999,3,1,Tuesday,3,Dia útil,33620267.99999
SE,SUDESTE,2023-01-03 04:00:00,33708.076,4,1,Tuesday,3,Dia útil,33708076.0
SE,SUDESTE,2023-01-03 05:00:00,33805.43799999,5,1,Tuesday,3,Dia útil,33805437.999989994
SE,SUDESTE,2023-01-03 06:00:00,34591.14599999,6,1,Tuesday,3,Dia útil,34591145.99999
SE,SUDESTE,2023-01-03 07:00:00,36532.816,7,1,Tuesday,3,Dia útil,36532816.0
SE,SUDESTE,2023-01-03 08:00:00,38362.309,8,1,Tuesday,3,Dia útil,38362309.0
